global_step,episodic_return
100000,-19.587629318237305
200000,-19.568628311157227
300000,-19.540000915527344
400000,-19.745098114013672
500000,-19.600000381469727
600000,-19.29292869567871
700000,-18.826086044311523
800000,-17.35897445678711
900000,-17.101449966430664
1000000,-13.800000190734863
1100000,-15.088234901428223
1200000,-16.700000762939453
1300000,-13.739130020141602
1400000,-12.05555534362793
1500000,-8.928571701049805
1600000,-11.538461685180664
1700000,-7.352941036224365
1800000,-2.8888888359069824
1900000,-5.666666507720947
2000000,2.125
2100000,-0.4545454680919647
2200000,4.900000095367432
2300000,3.8888888359069824
2400000,4.0
2500000,10.428571701049805
2600000,11.772727012634277
2700000,16.538461685180664
2800000,19.04347801208496
2900000,19.188678741455078
3000000,19.200000762939453
3100000,19.129629135131836
3200000,19.618181228637695
3300000,19.696428298950195
3400000,20.189655303955078
3500000,20.21666717529297
3600000,20.549999237060547
3700000,20.298246383666992
3800000,20.5
3900000,20.58333396911621
4000000,20.305084228515625
4100000,20.344263076782227
4200000,20.305084228515625
4300000,20.35087776184082
4400000,20.393442153930664
4500000,20.3157901763916
4600000,20.278688430786133
4700000,20.423728942871094
4800000,20.399999618530273
4900000,20.53333282470703
5000000,20.41666603088379
5100000,20.423728942871094
5200000,20.68852424621582
5300000,20.639345169067383
5400000,20.0
5500000,20.516666412353516
5600000,20.639345169067383
5700000,20.389829635620117
5800000,20.516666412353516
5900000,20.42622947692871
6000000,20.5
6100000,20.74193572998047
6200000,20.655736923217773
6300000,20.627119064331055
6400000,20.612903594970703
6500000,20.566667556762695
6600000,20.616666793823242
6700000,20.428571701049805
6800000,20.568965911865234
6900000,20.725807189941406
7000000,20.372880935668945
7100000,20.41666603088379
7200000,20.508195877075195
7300000,20.47541046142578
7400000,20.566667556762695
7500000,20.62295150756836
7600000,20.639345169067383
7700000,20.549999237060547
7800000,20.606557846069336
7900000,20.733333587646484
8000000,20.508195877075195
8100000,20.73770523071289
8200000,20.590164184570312
8300000,20.721311569213867
8400000,20.754098892211914
8500000,20.5
8600000,20.649999618530273
8700000,20.566667556762695
8800000,20.661291122436523
8900000,20.58333396911621
9000000,20.629032135009766
9100000,20.566667556762695
9200000,20.5
9300000,20.433332443237305
9400000,20.459016799926758
9500000,20.549999237060547
9600000,20.47541046142578
9700000,20.62295150756836
9800000,20.700000762939453
9900000,20.655736923217773
10000000,20.57377052307129
