global_step,episodic_return,episodic_length,loss,q_value,epsilon,sps
100000,-19.670103073120117,988.2371134020618,3.9271461963653564,0.15376684069633484,0.901007890701294,4016
200000,-19.510000228881836,1002.24,3.90097975730896,0.0830303356051445,0.8020079135894775,3091
300000,-19.490196228027344,992.9215686274509,3.8388044834136963,-0.018425192683935165,0.7030079364776611,3465
400000,-19.75,983.55,3.7609522342681885,-0.07285825908184052,0.6040079593658447,3453
500000,-19.484848022460938,1004.7474747474747,3.683845043182373,-0.1355411857366562,0.5050079226493835,3441
600000,-19.564355850219727,993.5346534653465,3.5811543464660645,-0.19265882670879364,0.40600794553756714,3405
700000,-19.79611587524414,972.9805825242719,3.4902193546295166,-0.1843215674161911,0.30700790882110596,3374
800000,-19.79611587524414,974.747572815534,3.3980119228363037,-0.24180203676223755,0.20800793170928955,3361
900000,-19.613861083984375,983.2871287128713,3.305875539779663,-0.2820076048374176,0.10900795459747314,3356
1000000,-19.594058990478516,1000.1188118811881,3.2077994346618652,-0.3691581189632416,0.010007917881011963,3349
1100000,-19.33333396911621,1031.7604166666667,3.1117589473724365,-0.370047003030777,0.009999999776482582,3335
1200000,-18.95652198791504,1107.4347826086957,3.0203638076782227,-0.38070276379585266,0.009999999776482582,3305
1300000,-18.766233444213867,1254.4805194805194,2.9383528232574463,-0.39303022623062134,0.009999999776482582,3305
1400000,-17.573530197143555,1464.4705882352941,2.8649957180023193,-0.32797786593437195,0.009999999776482582,3321
1500000,-17.5,1562.828125,2.78930401802063,-0.30531951785087585,0.009999999776482582,3313
1600000,-16.95833396911621,2080.0625,2.7309648990631104,-0.26702260971069336,0.009999999776482582,3313
1700000,-14.529411315917969,2889.676470588235,2.671696662902832,-0.20782656967639923,0.009999999776482582,3324
1800000,-14.970588684082031,2878.235294117647,2.6000003814697266,-0.16528382897377014,0.009999999776482582,3310
1900000,-12.703703880310059,3282.740740740741,2.5188794136047363,-0.12491793185472488,0.009999999776482582,3313
2000000,-10.875,4282.5,2.4650843143463135,-0.07683241367340088,0.009999999776482582,3299
2100000,-10.136363983154297,4404.181818181818,2.3650295734405518,0.019750624895095825,0.009999999776482582,3303
2200000,-10.666666984558105,4195.888888888889,2.284132242202759,0.08191300928592682,0.009999999776482582,3294
2300000,-10.857142448425293,4065.0476190476193,2.203864812850952,0.16093821823596954,0.009999999776482582,3300
2400000,-9.318181991577148,4453.909090909091,2.1556146144866943,0.20427054166793823,0.009999999776482582,3287
2500000,-5.4210524559021,5595.789473684211,2.12862491607666,0.25164464116096497,0.009999999776482582,3291
2600000,-6.947368621826172,5252.210526315789,2.070218801498413,0.3209468424320221,0.009999999776482582,3281
2700000,-4.294117450714111,5530.882352941177,2.0349388122558594,0.3810349702835083,0.009999999776482582,3292
2800000,-0.2666666805744171,6175.533333333334,2.0350608825683594,0.4649750888347626,0.009999999776482582,3279
2900000,4.050000190734863,5737.35,2.008269786834717,0.5219653844833374,0.009999999776482582,3290
3000000,6.954545497894287,4535.272727272727,1.9909734725952148,0.551906168460846,0.009999999776482582,3290
3100000,7.583333492279053,4138.958333333333,1.9359962940216064,0.5652074217796326,0.009999999776482582,3291
3200000,11.0,3931.6296296296296,1.9086205959320068,0.6018601059913635,0.009999999776482582,3280
3300000,14.742856979370117,2882.457142857143,1.9025628566741943,0.6722465753555298,0.009999999776482582,3286
3400000,18.22916603088379,2117.6041666666665,1.8909567594528198,0.7966429591178894,0.009999999776482582,3281
3500000,19.115385055541992,1971.673076923077,1.8722196817398071,0.878224790096283,0.009999999776482582,3282
3600000,19.64285659790039,1835.1607142857142,1.8399603366851807,0.9731311202049255,0.009999999776482582,3275
3700000,19.839284896850586,1794.2142857142858,1.839385986328125,1.0380430221557617,0.009999999776482582,3280
3800000,20.089284896850586,1780.8035714285713,1.800683856010437,1.080653190612793,0.009999999776482582,3265
3900000,20.456140518188477,1717.9649122807018,1.7540861368179321,1.1376632452011108,0.009999999776482582,3274
4000000,20.275861740112305,1723.844827586207,1.7415062189102173,1.1850084066390991,0.009999999776482582,3267
4100000,20.39655113220215,1701.6206896551723,1.7343477010726929,1.2214165925979614,0.009999999776482582,3282
4200000,20.1639347076416,1703.704918032787,1.7349406480789185,1.2432044744491577,0.009999999776482582,3282
4300000,20.36206817626953,1675.7931034482758,1.7277946472167969,1.2835485935211182,0.009999999776482582,3280
4400000,20.540983200073242,1665.5737704918033,1.7118583917617798,1.3036890029907227,0.009999999776482582,3272
4500000,20.60344886779785,1678.1379310344828,1.7042081356048584,1.3372262716293335,0.009999999776482582,3271
4600000,20.25,1710.05,1.7155003547668457,1.3477137088775635,0.009999999776482582,3273
4700000,20.36206817626953,1703.844827586207,1.7200499773025513,1.3624639511108398,0.009999999776482582,3272
4800000,20.568965911865234,1673.8620689655172,1.7158252000808716,1.3914488554000854,0.009999999776482582,3267
4900000,20.29032325744629,1688.5967741935483,1.7133753299713135,1.4067809581756592,0.009999999776482582,3270
5000000,20.224138259887695,1695.1206896551723,1.7195639610290527,1.4210423231124878,0.009999999776482582,3271
5100000,20.13793182373047,1709.3793103448277,1.722441554069519,1.4360843896865845,0.009999999776482582,3272
5200000,20.133333206176758,1725.9333333333334,1.7203861474990845,1.4519222974777222,0.009999999776482582,3276
5300000,20.40350914001465,1680.3157894736842,1.721775770187378,1.4700253009796143,0.009999999776482582,3274
5400000,20.57377052307129,1666.1475409836066,1.7254269123077393,1.4749102592468262,0.009999999776482582,3267
5500000,20.58333396911621,1668.8166666666666,1.728445291519165,1.467450499534607,0.009999999776482582,3261
5600000,20.42622947692871,1666.27868852459,1.7237387895584106,1.4693751335144043,0.009999999776482582,3258
5700000,20.627119064331055,1663.0169491525423,1.7270991802215576,1.4709293842315674,0.009999999776482582,3270
5800000,20.383333206176758,1686.9666666666667,1.7307919263839722,1.470141887664795,0.009999999776482582,3267
5900000,20.457626342773438,1674.6949152542372,1.72898268699646,1.4824297428131104,0.009999999776482582,3270
6000000,20.683332443237305,1656.6166666666666,1.7307050228118896,1.49344003200531,0.009999999776482582,3262
6100000,20.633333206176758,1664.6833333333334,1.727765679359436,1.4951597452163696,0.009999999776482582,3273
6200000,20.32203483581543,1679.2203389830509,1.7317187786102295,1.494436264038086,0.009999999776482582,3269
6300000,20.474576950073242,1706.0169491525423,1.7316392660140991,1.49141526222229,0.009999999776482582,3267
6400000,20.516666412353516,1678.0,1.7300440073013306,1.4895378351211548,0.009999999776482582,3264
6500000,20.379310607910156,1688.8620689655172,1.7268134355545044,1.4848897457122803,0.009999999776482582,3268
6600000,20.55555534362793,1673.7301587301588,1.7235112190246582,1.506402850151062,0.009999999776482582,3274
6700000,20.526315689086914,1672.7368421052631,1.7170312404632568,1.5091391801834106,0.009999999776482582,3273
6800000,20.69354820251465,1659.0967741935483,1.7165610790252686,1.50859534740448,0.009999999776482582,3261
6900000,20.694915771484375,1643.2203389830509,1.712562918663025,1.5099055767059326,0.009999999776482582,3262
7000000,20.564516067504883,1659.6612903225807,1.7194862365722656,1.5079628229141235,0.009999999776482582,3274
7100000,20.450000762939453,1674.1666666666667,1.7220282554626465,1.5046775341033936,0.009999999776482582,3268
7200000,20.733333587646484,1652.4666666666667,1.7256553173065186,1.5078577995300293,0.009999999776482582,3270
7300000,20.6610164642334,1659.8474576271187,1.7252305746078491,1.5024640560150146,0.009999999776482582,3269
7400000,20.73770523071289,1649.8852459016393,1.7290323972702026,1.4981715679168701,0.009999999776482582,3271
7500000,20.41666603088379,1669.8666666666666,1.721449375152588,1.4931514263153076,0.009999999776482582,3268
7600000,20.47541046142578,1662.1475409836066,1.7170337438583374,1.4920774698257446,0.009999999776482582,3265
7700000,20.516666412353516,1658.35,1.7154556512832642,1.4913603067398071,0.009999999776482582,3266
7800000,20.41666603088379,1662.5333333333333,1.7122832536697388,1.498307466506958,0.009999999776482582,3264
7900000,20.610170364379883,1668.864406779661,1.7079746723175049,1.4885939359664917,0.009999999776482582,3263
8000000,20.540983200073242,1674.4262295081967,1.711775302886963,1.4900957345962524,0.009999999776482582,3265
8100000,20.53333282470703,1662.5166666666667,1.7072324752807617,1.4837467670440674,0.009999999776482582,3251
8200000,20.372880935668945,1674.949152542373,1.7083417177200317,1.4858356714248657,0.009999999776482582,3258
8300000,20.700000762939453,1654.2333333333333,1.6998547315597534,1.4935277700424194,0.009999999776482582,3256
8400000,20.566667556762695,1665.5,1.7022289037704468,1.4878649711608887,0.009999999776482582,3256
8500000,20.450000762939453,1685.5666666666666,1.708011269569397,1.493373155593872,0.009999999776482582,3257
8600000,20.62295150756836,1653.5901639344263,1.705163598060608,1.5007768869400024,0.009999999776482582,3267
8700000,20.633333206176758,1644.0833333333333,1.7026127576828003,1.5080889463424683,0.009999999776482582,3260
8800000,20.600000381469727,1655.6,1.7016931772232056,1.507249116897583,0.009999999776482582,3264
8900000,20.612903594970703,1655.1451612903227,1.7041733264923096,1.5140000581741333,0.009999999776482582,3255
9000000,20.508474349975586,1664.0169491525423,1.709809422492981,1.5063832998275757,0.009999999776482582,3264
9100000,20.661291122436523,1648.741935483871,1.7058700323104858,1.5101428031921387,0.009999999776482582,3258
9200000,20.78333282470703,1632.8166666666666,1.7064363956451416,1.5124238729476929,0.009999999776482582,3264
9300000,20.57377052307129,1654.4754098360656,1.709492802619934,1.510184645652771,0.009999999776482582,3267
9400000,20.645160675048828,1636.6774193548388,1.7115585803985596,1.510140299797058,0.009999999776482582,3260
9500000,20.482759475708008,1668.6724137931035,1.7162060737609863,1.5058215856552124,0.009999999776482582,3255
9600000,20.557376861572266,1648.622950819672,1.7182985544204712,1.514711618423462,0.009999999776482582,3255
9700000,20.57377052307129,1652.8032786885246,1.7157981395721436,1.5154131650924683,0.009999999776482582,3261
9800000,20.59677505493164,1653.225806451613,1.7204042673110962,1.513527512550354,0.009999999776482582,3253
9900000,20.683332443237305,1643.3,1.7235404253005981,1.5153090953826904,0.009999999776482582,3254
10000000,20.71666717529297,1635.4166666666667,1.7195441722869873,1.5113003253936768,0.009999999776482582,3266
