global_step,episodic_return
100000,-19.670103073120117
200000,-19.510000228881836
300000,-19.490196228027344
400000,-19.75
500000,-19.484848022460938
600000,-19.564355850219727
700000,-19.79611587524414
800000,-19.79611587524414
900000,-19.613861083984375
1000000,-19.594058990478516
1100000,-19.33333396911621
1200000,-18.95652198791504
1300000,-18.766233444213867
1400000,-17.573530197143555
1500000,-17.5
1600000,-16.95833396911621
1700000,-14.529411315917969
1800000,-14.970588684082031
1900000,-12.703703880310059
2000000,-10.875
2100000,-10.136363983154297
2200000,-10.666666984558105
2300000,-10.857142448425293
2400000,-9.318181991577148
2500000,-5.4210524559021
2600000,-6.947368621826172
2700000,-4.294117450714111
2800000,-0.2666666805744171
2900000,4.050000190734863
3000000,6.954545497894287
3100000,7.583333492279053
3200000,11.0
3300000,14.742856979370117
3400000,18.22916603088379
3500000,19.115385055541992
3600000,19.64285659790039
3700000,19.839284896850586
3800000,20.089284896850586
3900000,20.456140518188477
4000000,20.275861740112305
4100000,20.39655113220215
4200000,20.1639347076416
4300000,20.36206817626953
4400000,20.540983200073242
4500000,20.60344886779785
4600000,20.25
4700000,20.36206817626953
4800000,20.568965911865234
4900000,20.29032325744629
5000000,20.224138259887695
5100000,20.13793182373047
5200000,20.133333206176758
5300000,20.40350914001465
5400000,20.57377052307129
5500000,20.58333396911621
5600000,20.42622947692871
5700000,20.627119064331055
5800000,20.383333206176758
5900000,20.457626342773438
6000000,20.683332443237305
6100000,20.633333206176758
6200000,20.32203483581543
6300000,20.474576950073242
6400000,20.516666412353516
6500000,20.379310607910156
6600000,20.55555534362793
6700000,20.526315689086914
6800000,20.69354820251465
6900000,20.694915771484375
7000000,20.564516067504883
7100000,20.450000762939453
7200000,20.733333587646484
7300000,20.6610164642334
7400000,20.73770523071289
7500000,20.41666603088379
7600000,20.47541046142578
7700000,20.516666412353516
7800000,20.41666603088379
7900000,20.610170364379883
8000000,20.540983200073242
8100000,20.53333282470703
8200000,20.372880935668945
8300000,20.700000762939453
8400000,20.566667556762695
8500000,20.450000762939453
8600000,20.62295150756836
8700000,20.633333206176758
8800000,20.600000381469727
8900000,20.612903594970703
9000000,20.508474349975586
9100000,20.661291122436523
9200000,20.78333282470703
9300000,20.57377052307129
9400000,20.645160675048828
9500000,20.482759475708008
9600000,20.557376861572266
9700000,20.57377052307129
9800000,20.59677505493164
9900000,20.683332443237305
10000000,20.71666717529297
