global_step,episodic_return
100000,-19.62886619567871
200000,-20.137615203857422
300000,-19.79245376586914
400000,-19.712871551513672
500000,-19.52427101135254
600000,-19.799999237060547
700000,-20.046297073364258
800000,-20.165138244628906
900000,-20.229358673095703
1000000,-20.29464340209961
1100000,-20.399999618530273
1200000,-20.29660987854004
1300000,-20.330509185791016
1400000,-20.061403274536133
1500000,-20.295652389526367
1600000,-20.201753616333008
1700000,-20.170940399169922
1800000,-20.31304359436035
1900000,-20.232759475708008
2000000,-20.295652389526367
2100000,-20.290597915649414
2200000,-20.508474349975586
2300000,-20.474138259887695
2400000,-20.483333587646484
2500000,-20.53781509399414
2600000,-20.610170364379883
2700000,-20.219297409057617
2800000,-20.200000762939453
2900000,-20.258928298950195
3000000,-20.240739822387695
3100000,-20.183486938476562
3200000,-20.398229598999023
3300000,-20.647058486938477
3400000,-20.265487670898438
3500000,-20.401784896850586
3600000,-20.412843704223633
3700000,-20.481481552124023
3800000,-20.38532066345215
3900000,-20.448598861694336
4000000,-20.49532699584961
4100000,-20.600000381469727
4200000,-20.469026565551758
4300000,-20.4786319732666
4400000,-20.271930694580078
4500000,-19.991071701049805
4600000,-20.027273178100586
4700000,-20.140350341796875
4800000,-19.546297073364258
4900000,-19.928571701049805
5000000,-19.8869571685791
5100000,-19.738739013671875
5200000,-20.475000381469727
5300000,-19.982301712036133
5400000,-20.685039520263672
5500000,-20.48245620727539
5600000,-20.532787322998047
5700000,-20.141592025756836
5800000,-20.15517234802246
5900000,-19.990991592407227
6000000,-20.052631378173828
6100000,-20.29729652404785
6200000,-20.310924530029297
6300000,-20.398305892944336
6400000,-19.864864349365234
6500000,-19.531532287597656
6600000,-19.709091186523438
6700000,-19.326923370361328
6800000,-19.320388793945312
6900000,-19.38888931274414
7000000,-20.122806549072266
7100000,-20.05555534362793
7200000,-19.653846740722656
7300000,-19.747663497924805
7400000,-19.92727279663086
7500000,-19.19801902770996
7600000,-19.834861755371094
7700000,-19.60377311706543
7800000,-19.554454803466797
7900000,-19.651376724243164
8000000,-19.53333282470703
8100000,-19.107526779174805
8200000,-19.11627960205078
8300000,-19.23655891418457
8400000,-16.073530197143555
8500000,-15.470588684082031
8600000,-12.792452812194824
8700000,-10.644444465637207
8800000,-10.568181991577148
8900000,-9.216216087341309
9000000,-9.090909004211426
9100000,-8.87804889678955
9200000,-7.6052632331848145
9300000,-6.210526466369629
9400000,-7.410256385803223
9500000,-11.279069900512695
9600000,-8.09756088256836
9700000,-11.272727012634277
9800000,-9.324999809265137
9900000,-7.146341323852539
10000000,-2.444444417953491
