global_step,episodic_return
100000,-19.57291603088379
200000,-19.68269157409668
300000,-19.40816307067871
400000,-19.670000076293945
500000,-19.347368240356445
600000,-19.098901748657227
700000,-18.766666412353516
800000,-18.727272033691406
900000,-18.788888931274414
1000000,-19.182796478271484
1100000,-18.775279998779297
1200000,-18.171052932739258
1300000,-17.657142639160156
1400000,-17.623188018798828
1500000,-16.34375
1600000,-14.375
1700000,-14.72549057006836
1800000,-11.230769157409668
1900000,-9.289473533630371
2000000,-10.184210777282715
2100000,-8.264705657958984
2200000,-8.30555534362793
2300000,0.800000011920929
2400000,3.3214285373687744
2500000,2.0
2600000,6.5806450843811035
2700000,2.620689630508423
2800000,6.40625
2900000,8.193548202514648
3000000,6.0740742683410645
3100000,8.466666221618652
3200000,10.617647171020508
3300000,7.515151500701904
3400000,11.428571701049805
3500000,12.058823585510254
3600000,11.416666984558105
3700000,12.583333015441895
3800000,11.763157844543457
3900000,13.820512771606445
4000000,14.564102172851562
4100000,14.512195587158203
4200000,15.952381134033203
4300000,15.210526466369629
4400000,12.384614944458008
4500000,12.609756469726562
4600000,14.725000381469727
4700000,15.904762268066406
4800000,15.755555152893066
4900000,16.266666412353516
5000000,16.717391967773438
5100000,16.399999618530273
5200000,16.33333396911621
5300000,17.204082489013672
5400000,17.200000762939453
5500000,17.87234115600586
5600000,15.297872543334961
5700000,16.808509826660156
5800000,16.489360809326172
5900000,18.5510196685791
6000000,16.282608032226562
6100000,16.95833396911621
6200000,17.227272033691406
6300000,17.346939086914062
6400000,19.05769157409668
6500000,17.795917510986328
6600000,17.93877601623535
6700000,17.808509826660156
6800000,18.260000228881836
6900000,17.918367385864258
7000000,16.08888816833496
7100000,17.795917510986328
7200000,17.428571701049805
7300000,17.538461685180664
7400000,18.86274528503418
7500000,15.125
7600000,17.918367385864258
7700000,18.30188751220703
7800000,16.59183692932129
7900000,18.461538314819336
8000000,15.836734771728516
8100000,18.961538314819336
8200000,18.037036895751953
8300000,17.254901885986328
8400000,19.05769157409668
8500000,19.129629135131836
8600000,18.814815521240234
8700000,19.33333396911621
8800000,18.94444465637207
8900000,19.581817626953125
9000000,18.309091567993164
9100000,18.0
9200000,19.10714340209961
9300000,18.519229888916016
9400000,17.660377502441406
9500000,18.830188751220703
9600000,19.481481552124023
9700000,20.233333587646484
9800000,19.803571701049805
9900000,18.479999542236328
10000000,19.719297409057617
