global_step,episodic_return,episodic_length,loss,q_value,epsilon,sps
100000,-19.57291603088379,989.46875,3.9115164279937744,0.17393076419830322,0.901007890701294,1298
200000,-19.68269157409668,972.4326923076923,3.8795502185821533,0.13777826726436615,0.8020079135894775,1194
300000,-19.40816307067871,1010.3163265306123,3.7956125736236572,0.024185314774513245,0.7030079364776611,1231
400000,-19.670000076293945,1008.23,3.714266300201416,-0.08645280450582504,0.6040079593658447,1228
500000,-19.347368240356445,1048.3473684210526,3.6271469593048096,-0.2262709140777588,0.5050079226493835,1227
600000,-19.098901748657227,1095.10989010989,3.54227614402771,-0.24642817676067352,0.40600794553756714,1227
700000,-18.766666412353516,1117.4555555555555,3.465290069580078,-0.2158074975013733,0.30700790882110596,1226
800000,-18.727272033691406,1121.5795454545455,3.3637607097625732,-0.2069578915834427,0.20800793170928955,1226
900000,-18.788888931274414,1116.2888888888888,3.2921481132507324,-0.06095047667622566,0.10900795459747314,1224
1000000,-19.182796478271484,1071.4086021505377,3.2086405754089355,0.03412827104330063,0.010007917881011963,1224
1100000,-18.775279998779297,1141.3033707865168,3.1177785396575928,0.006496321875602007,0.009999999776482582,1225
1200000,-18.171052932739258,1280.671052631579,3.0505831241607666,0.06703502684831619,0.009999999776482582,1224
1300000,-17.657142639160156,1418.357142857143,2.9874267578125,0.115348219871521,0.009999999776482582,1223
1400000,-17.623188018798828,1457.4202898550725,2.9179258346557617,0.08840936422348022,0.009999999776482582,1222
1500000,-16.34375,1563.484375,2.8578782081604004,0.07960228621959686,0.009999999776482582,1224
1600000,-14.375,1759.375,2.805799961090088,0.0681273564696312,0.009999999776482582,1223
1700000,-14.72549057006836,1940.5098039215686,2.7418630123138428,0.1296878606081009,0.009999999776482582,1224
1800000,-11.230769157409668,2470.102564102564,2.6778643131256104,0.16462300717830658,0.009999999776482582,1224
1900000,-9.289473533630371,2705.4473684210525,2.635395050048828,0.1769321709871292,0.009999999776482582,1224
2000000,-10.184210777282715,2615.2105263157896,2.5919971466064453,0.17946220934391022,0.009999999776482582,1224
2100000,-8.264705657958984,2948.970588235294,2.5324134826660156,0.23455199599266052,0.009999999776482582,1224
2200000,-8.30555534362793,2660.5555555555557,2.4833641052246094,0.19073882699012756,0.009999999776482582,339
2300000,0.800000011920929,3465.5333333333333,2.426140308380127,0.26102596521377563,0.009999999776482582,504
2400000,3.3214285373687744,3345.8928571428573,2.3586208820343018,0.38005515933036804,0.009999999776482582,505
2500000,2.0,3483.633333333333,2.2868175506591797,0.42664527893066406,0.009999999776482582,504
2600000,6.5806450843811035,3334.7741935483873,2.2465741634368896,0.5610480308532715,0.009999999776482582,522
2700000,2.620689630508423,3214.655172413793,2.2028133869171143,0.6725289821624756,0.009999999776482582,503
2800000,6.40625,3306.96875,2.1566896438598633,0.7004344463348389,0.009999999776482582,503
2900000,8.193548202514648,3253.8064516129034,2.1169326305389404,0.7961943745613098,0.009999999776482582,517
3000000,6.0740742683410645,3508.6666666666665,2.0830228328704834,0.8880099058151245,0.009999999776482582,503
3100000,8.466666221618652,3312.0333333333333,2.05773663520813,0.9293614029884338,0.009999999776482582,502
3200000,10.617647171020508,2979.676470588235,2.0446763038635254,0.9311829805374146,0.009999999776482582,520
3300000,7.515151500701904,3132.787878787879,2.0464065074920654,0.9266408681869507,0.009999999776482582,496
3400000,11.428571701049805,2892.342857142857,2.0622987747192383,0.9447984099388123,0.009999999776482582,497
3500000,12.058823585510254,2848.029411764706,2.0382308959960938,1.0090028047561646,0.009999999776482582,500
3600000,11.416666984558105,2805.25,2.01450514793396,1.0700974464416504,0.009999999776482582,155
3700000,12.583333015441895,2766.3055555555557,2.005197525024414,1.1013894081115723,0.009999999776482582,113
3800000,11.763157844543457,2750.342105263158,2.0144450664520264,1.118560552597046,0.009999999776482582,113
3900000,13.820512771606445,2503.4358974358975,1.9943987131118774,1.1462947130203247,0.009999999776482582,101
4000000,14.564102172851562,2578.974358974359,1.9831912517547607,1.1840136051177979,0.009999999776482582,113
4100000,14.512195587158203,2404.9268292682927,1.9708648920059204,1.2341514825820923,0.009999999776482582,294
4200000,15.952381134033203,2425.214285714286,1.9917898178100586,1.278235673904419,0.009999999776482582,1222
4300000,15.210526466369629,2481.0789473684213,1.9912872314453125,1.3014253377914429,0.009999999776482582,1221
4400000,12.384614944458008,2555.6153846153848,1.947084665298462,1.351348638534546,0.009999999776482582,1222
4500000,12.609756469726562,2555.8536585365855,1.9166613817214966,1.3719482421875,0.009999999776482582,1221
4600000,14.725000381469727,2486.2,1.934044361114502,1.3680927753448486,0.009999999776482582,1221
4700000,15.904762268066406,2442.3809523809523,1.942358136177063,1.4055863618850708,0.009999999776482582,1222
4800000,15.755555152893066,2228.4222222222224,1.939784049987793,1.4302525520324707,0.009999999776482582,1221
4900000,16.266666412353516,2168.1111111111113,1.9354774951934814,1.4433276653289795,0.009999999776482582,1222
5000000,16.717391967773438,2195.0652173913045,1.9398518800735474,1.4451371431350708,0.009999999776482582,1222
5100000,16.399999618530273,2240.4,1.9274482727050781,1.4616013765335083,0.009999999776482582,1221
5200000,16.33333396911621,2180.133333333333,1.929253339767456,1.4921609163284302,0.009999999776482582,1222
5300000,17.204082489013672,2119.938775510204,1.9121625423431396,1.5163500308990479,0.009999999776482582,1221
5400000,17.200000762939453,2182.311111111111,1.9203557968139648,1.553397536277771,0.009999999776482582,1222
5500000,17.87234115600586,2070.723404255319,1.938764214515686,1.5545146465301514,0.009999999776482582,1221
5600000,15.297872543334961,2172.68085106383,1.9172658920288086,1.5521169900894165,0.009999999776482582,1221
5700000,16.808509826660156,2145.8936170212764,1.911737322807312,1.5671625137329102,0.009999999776482582,1221
5800000,16.489360809326172,2150.1063829787236,1.900031566619873,1.548690676689148,0.009999999776482582,1222
5900000,18.5510196685791,2009.2448979591836,1.9030343294143677,1.5561304092407227,0.009999999776482582,1221
6000000,16.282608032226562,2143.2391304347825,1.906943917274475,1.552775502204895,0.009999999776482582,1222
6100000,16.95833396911621,2141.8541666666665,1.913368582725525,1.5454381704330444,0.009999999776482582,1221
6200000,17.227272033691406,2167.7727272727275,1.9084570407867432,1.5263936519622803,0.009999999776482582,1221
6300000,17.346939086914062,2073.7551020408164,1.912541389465332,1.5200724601745605,0.009999999776482582,1221
6400000,19.05769157409668,1949.8846153846155,1.904717206954956,1.5248006582260132,0.009999999776482582,1221
6500000,17.795917510986328,2096.5510204081634,1.8865612745285034,1.5306695699691772,0.009999999776482582,1221
6600000,17.93877601623535,2047.5102040816328,1.9018018245697021,1.5374878644943237,0.009999999776482582,1222
6700000,17.808509826660156,2043.0,1.8945056200027466,1.5368900299072266,0.009999999776482582,1221
6800000,18.260000228881836,2027.94,1.8951416015625,1.5428762435913086,0.009999999776482582,1221
6900000,17.918367385864258,2064.3673469387754,1.8817002773284912,1.5405850410461426,0.009999999776482582,1221
7000000,16.08888816833496,2228.288888888889,1.871637225151062,1.521511197090149,0.009999999776482582,1220
