global_step,episodic_return
100000,89.02597045898438
200000,85.82554626464844
300000,93.17152404785156
400000,111.58536529541016
500000,131.6666717529297
600000,160.6137237548828
700000,174.39462280273438
800000,173.99038696289062
900000,205.4922332763672
1000000,196.91357421875
1100000,230.65573120117188
1200000,309.2727355957031
1300000,390.4854431152344
1400000,455.5970153808594
1500000,865.77587890625
1600000,1053.4454345703125
1700000,1242.8345947265625
1800000,1185.2293701171875
1900000,855.8333129882812
2000000,1069.2232666015625
2100000,1148.8333740234375
2200000,1004.2857055664062
2300000,1549.2452392578125
2400000,1421.5928955078125
2500000,1399.565185546875
2600000,1696.761962890625
2700000,1781.9444580078125
2800000,1660.1754150390625
2900000,1841.5966796875
3000000,2313.0
3100000,2293.185791015625
3200000,2072.5439453125
3300000,2399.4443359375
3400000,2369.0908203125
3500000,2546.071533203125
3600000,2572.631591796875
3700000,2794.4443359375
3800000,2650.74072265625
3900000,2837.94384765625
4000000,2598.24072265625
4100000,2212.5
4200000,2212.699951171875
4300000,2120.490234375
4400000,2444.380859375
4500000,2548.076904296875
4600000,2405.238037109375
4700000,2289.71142578125
4800000,2025.7894287109375
4900000,1778.8792724609375
5000000,2586.80859375
5100000,2343.39794921875
5200000,2448.48486328125
5300000,3211.734619140625
5400000,3128.823486328125
5500000,2864.923095703125
5600000,3193.28759765625
5700000,3487.77783203125
5800000,3559.18603515625
5900000,3410.1064453125
6000000,3227.524658203125
6100000,3425.64697265625
6200000,3678.90234375
6300000,3973.292724609375
6400000,3757.888916015625
6500000,4066.363525390625
6600000,3811.26318359375
6700000,3696.315673828125
6800000,3768.875
6900000,3831.75439453125
7000000,3750.0
7100000,4232.44189453125
7200000,4495.625
7300000,3794.321044921875
7400000,4312.96875
7500000,3950.322509765625
7600000,3850.5
7700000,3863.658447265625
7800000,4124.35498046875
7900000,4686.818359375
8000000,4595.25
8100000,4967.74169921875
8200000,3850.588134765625
8300000,4731.9609375
8400000,4630.7998046875
8500000,4751.46337890625
8600000,5261.25
8700000,5435.7353515625
8800000,5131.30419921875
8900000,4769.03857421875
9000000,4498.5712890625
9100000,4763.97265625
9200000,5551.470703125
9300000,4815.21142578125
9400000,5346.23388671875
9500000,4570.59521484375
9600000,4879.28564453125
9700000,5132.173828125
9800000,5130.14306640625
9900000,5402.85693359375
10000000,4466.0654296875
