global_step,episodic_return,episodic_length,loss,q_value,epsilon,sps
100000,89.02597045898438,320.35714285714283,3.908632755279541,0.17675025761127472,0.901007890701294,1180
200000,85.82554626464844,311.57943925233644,3.8015942573547363,0.5065538883209229,0.8020079135894775,934
300000,93.17152404785156,322.79611650485435,3.594991445541382,0.8605340719223022,0.7030079364776611,1037
400000,111.58536529541016,306.0762195121951,3.4705240726470947,1.2582712173461914,0.6040079593658447,1033
500000,131.6666717529297,297.8154761904762,3.3420767784118652,1.6298563480377197,0.5050079226493835,1023
600000,160.6137237548828,361.85559566787003,3.213761329650879,1.936526894569397,0.40600794553756714,1018
700000,174.39462280273438,445.5695067264574,3.1801419258117676,2.209084987640381,0.30700790882110596,1014
800000,173.99038696289062,476.27403846153845,3.0504393577575684,2.3587803840637207,0.20800793170928955,1009
900000,205.4922332763672,523.580310880829,2.9685699939727783,2.4655048847198486,0.10900795459747314,1003
1000000,196.91357421875,608.5,2.9426684379577637,2.3471691608428955,0.010007917881011963,998
1100000,230.65573120117188,808.5,2.9090938568115234,2.0790162086486816,0.009999999776482582,995
1200000,309.2727355957031,915.290909090909,2.89461088180542,2.0495524406433105,0.009999999776482582,993
1300000,390.4854431152344,956.6116504854369,2.8499624729156494,2.090125322341919,0.009999999776482582,987
1400000,455.5970153808594,758.0746268656717,2.7478246688842773,2.3318705558776855,0.009999999776482582,983
1500000,865.77587890625,865.9224137931035,2.6816959381103516,2.740117073059082,0.009999999776482582,981
1600000,1053.4454345703125,837.4621848739496,2.7030718326568604,3.215663194656372,0.009999999776482582,978
1700000,1242.8345947265625,785.8031496062993,2.6582696437835693,3.9791159629821777,0.009999999776482582,979
1800000,1185.2293701171875,911.3302752293578,2.69278621673584,4.694879531860352,0.009999999776482582,981
1900000,855.8333129882812,1051.2916666666667,2.801093101501465,4.929591178894043,0.009999999776482582,981
2000000,1069.2232666015625,973.3106796116505,2.7904586791992188,4.567087650299072,0.009999999776482582,977
2100000,1148.8333740234375,835.5083333333333,2.6881697177886963,4.725833415985107,0.009999999776482582,977
2200000,1004.2857055664062,788.8333333333334,2.6925883293151855,4.8559675216674805,0.009999999776482582,975
2300000,1549.2452392578125,942.3018867924528,2.6273703575134277,4.774436950683594,0.009999999776482582,976
2400000,1421.5928955078125,876.2300884955753,2.6016252040863037,4.740345478057861,0.009999999776482582,975
2500000,1399.565185546875,872.8173913043478,2.5763344764709473,4.647121906280518,0.009999999776482582,974
2600000,1696.761962890625,964.3142857142857,2.5632450580596924,4.463452339172363,0.009999999776482582,977
2700000,1781.9444580078125,927.824074074074,2.52961802482605,4.6725592613220215,0.009999999776482582,974
2800000,1660.1754150390625,878.421052631579,2.5160622596740723,4.832650184631348,0.009999999776482582,974
2900000,1841.5966796875,833.9579831932773,2.4904532432556152,4.985422611236572,0.009999999776482582,973
3000000,2313.0,910.4818181818182,2.4862570762634277,4.985382556915283,0.009999999776482582,972
3100000,2293.185791015625,876.6902654867257,2.430574655532837,5.103601455688477,0.009999999776482582,973
3200000,2072.5439453125,867.938596491228,2.4530792236328125,5.035455226898193,0.009999999776482582,973
3300000,2399.4443359375,929.7037037037037,2.4753167629241943,5.077834606170654,0.009999999776482582,973
3400000,2369.0908203125,834.595041322314,2.405179262161255,5.092560768127441,0.009999999776482582,973
3500000,2546.071533203125,892.5,2.429222583770752,5.215959072113037,0.009999999776482582,971
3600000,2572.631591796875,870.6578947368421,2.400895357131958,5.291468143463135,0.009999999776482582,970
3700000,2794.4443359375,870.5213675213676,2.4041647911071777,5.407809257507324,0.009999999776482582,972
3800000,2650.74072265625,923.6481481481482,2.3950324058532715,5.318683624267578,0.009999999776482582,969
3900000,2837.94384765625,928.8130841121496,2.397411823272705,5.305727958679199,0.009999999776482582,971
4000000,2598.24072265625,906.2407407407408,2.4059596061706543,5.233191013336182,0.009999999776482582,972
4100000,2212.5,947.0462962962963,2.3922033309936523,4.98098087310791,0.009999999776482582,972
4200000,2212.699951171875,984.2,2.3970353603363037,4.7287211418151855,0.009999999776482582,971
4300000,2120.490234375,1002.0098039215686,2.40012264251709,4.7604899406433105,0.009999999776482582,972
